 KEGG:hsa00010    Glycolysis / Gluconeogenesis
 KEGG:hsa00620    Pyruvate metabolism
 KEGG:hsa00630    Glyoxylate and dicarboxylate metabolism
 KEGG:hsa00640    Propanoate metabolism
 KEGG:hsa00650    Butanoate metabolism
 KEGG:hsa00670    One carbon pool by folate
 KEGG:hsa00730    Thiamine metabolism
 KEGG:hsa00740    Riboflavin metabolism
 KEGG:hsa00750    Vitamin B6 metabolism
 KEGG:hsa00760    Nicotinate and nicotinamide metabolism
 KEGG:hsa00770    Pantothenate and CoA biosynthesis
 KEGG:hsa00780    Biotin metabolism
 KEGG:hsa00785    Lipoic acid metabolism
 KEGG:hsa00790    Folate biosynthesis
 KEGG:hsa00830    Retinol metabolism
 KEGG:hsa00860    Porphyrin and chlorophyll metabolism
 KEGG:hsa00900    Terpenoid backbone biosynthesis
 KEGG:hsa00910    Nitrogen metabolism
 KEGG:hsa00920    Sulfur metabolism
 KEGG:hsa00970    Aminoacyl-tRNA biosynthesis
 KEGG:hsa00980    Metabolism of xenobiotics by cytochrome P450
 KEGG:hsa00982    Drug metabolism - cytochrome P450
 KEGG:hsa00983    Drug metabolism - other enzymes
 KEGG:hsa01040    Biosynthesis of unsaturated fatty acids
 KEGG:hsa01100    Metabolic pathways
 KEGG:hsa01200    Carbon metabolism
 KEGG:hsa01210    2-Oxocarboxylic acid metabolism
 KEGG:hsa01212    Fatty acid metabolism
 KEGG:hsa01230    Biosynthesis of amino acids
 KEGG:hsa01521    EGFR tyrosine kinase inhibitor resistance
 KEGG:hsa01522    Endocrine resistance
 KEGG:hsa01523    Antifolate resistance
 KEGG:hsa01524    Platinum drug resistance
 KEGG:hsa02010    ABC transporters
 KEGG:hsa03008    Ribosome biogenesis in eukaryotes
 KEGG:hsa03010    Ribosome
 KEGG:hsa03013    RNA transport
 KEGG:hsa03015    mRNA surveillance pathway
 KEGG:hsa03018    RNA degradation
 KEGG:hsa03020    RNA polymerase
 KEGG:hsa03022    Basal transcription factors
 KEGG:hsa03030    DNA replication
 KEGG:hsa03040    Spliceosome
 KEGG:hsa03050    Proteasome
 KEGG:hsa03060    Protein export
 KEGG:hsa03320    PPAR signaling pathway
 KEGG:hsa03410    Base excision repair
 KEGG:hsa03420    Nucleotide excision repair
 KEGG:hsa03430    Mismatch repair
 KEGG:hsa03440    Homologous recombination
 KEGG:hsa03450    Non-homologous end-joining
 KEGG:hsa03460    Fanconi anemia pathway
 KEGG:hsa04010    MAPK signaling pathway
 KEGG:hsa04012    ErbB signaling pathway
 KEGG:hsa04014    Ras signaling pathway
 KEGG:hsa04015    Rap1 signaling pathway
 KEGG:hsa04020    Calcium signaling pathway
 KEGG:hsa04022    cGMP-PKG signaling pathway
 KEGG:hsa04024    cAMP signaling pathway
 KEGG:hsa04060    Cytokine-cytokine receptor interaction
 KEGG:hsa04062    Chemokine signaling pathway
 KEGG:hsa04064    NF-kappa B signaling pathway
 KEGG:hsa04066    HIF-1 signaling pathway
 KEGG:hsa04068    FoxO signaling pathway
 KEGG:hsa04070    Phosphatidylinositol signaling system
 KEGG:hsa04071    Sphingolipid signaling pathway
 KEGG:hsa04072    Phospholipase D signaling pathway
 KEGG:hsa04080    Neuroactive ligand-receptor interaction
 KEGG:hsa04110    Cell cycle
 KEGG:hsa04114    Oocyte meiosis
 KEGG:hsa04115    p53 signaling pathway
 KEGG:hsa04120    Ubiquitin mediated proteolysis
 KEGG:hsa04122    Sulfur relay system
 KEGG:hsa04130    SNARE interactions in vesicular transport
 KEGG:hsa04136    Autophagy - other
 KEGG:hsa04137    Mitophagy - animal
 KEGG:hsa04140    Autophagy - animal
 KEGG:hsa04141    Protein processing in endoplasmic reticulum
 KEGG:hsa04142    Lysosome
 KEGG:hsa04144    Endocytosis
 KEGG:hsa04145    Phagosome
 KEGG:hsa04146    Peroxisome
 KEGG:hsa04150    mTOR signaling pathway
 KEGG:hsa04151    PI3K-Akt signaling pathway
 KEGG:hsa04152    AMPK signaling pathway
 KEGG:hsa04210    Apoptosis
 KEGG:hsa04211    Longevity regulating pathway
 KEGG:hsa04213    Longevity regulating pathway - multiple species
 KEGG:hsa04215    Apoptosis - multiple species
 KEGG:hsa04216    Ferroptosis
 KEGG:hsa04260    Cardiac muscle contraction
 KEGG:hsa04261    Adrenergic signaling in cardiomyocytes
 KEGG:hsa04270    Vascular smooth muscle contraction
 KEGG:hsa04310    Wnt signaling pathway
 KEGG:hsa04320    Dorso-ventral axis formation
 KEGG:hsa04330    Notch signaling pathway
 KEGG:hsa04340    Hedgehog signaling pathway
 KEGG:hsa04350    TGF-beta signaling pathway
 KEGG:hsa04360    Axon guidance
 KEGG:hsa04370    VEGF signaling pathway
 KEGG:hsa04371    Apelin signaling pathway
 KEGG:hsa04380    Osteoclast differentiation
 KEGG:hsa04390    Hippo signaling pathway
 KEGG:hsa04392    Hippo signaling pathway -multiple species
 KEGG:hsa04510    Focal adhesion
 KEGG:hsa04512    ECM-receptor interaction
 KEGG:hsa04514    Cell adhesion molecules (CAMs)
 KEGG:hsa04520    Adherens junction
 KEGG:hsa04530    Tight junction
 KEGG:hsa04540    Gap junction
 KEGG:hsa04550    Signaling pathways regulating pluripotency of stem cells
 KEGG:hsa04610    Complement and coagulation cascades
 KEGG:hsa04611    Platelet activation
 KEGG:hsa04612    Antigen processing and presentation
 KEGG:hsa04614    Renin-angiotensin system
 KEGG:hsa04620    Toll-like receptor signaling pathway
 KEGG:hsa04621    NOD-like receptor signaling pathway
 KEGG:hsa04622    RIG-I-like receptor signaling pathway
 KEGG:hsa04623    Cytosolic DNA-sensing pathway
 KEGG:hsa04630    Jak-STAT signaling pathway
 KEGG:hsa04640    Hematopoietic cell lineage
 KEGG:hsa04650    Natural killer cell mediated cytotoxicity
 KEGG:hsa04657    IL-17 signaling pathway
 KEGG:hsa04658    Th1 and Th2 cell differentiation
 KEGG:hsa04659    Th17 cell differentiation
 KEGG:hsa04660    T cell receptor signaling pathway
 KEGG:hsa04662    B cell receptor signaling pathway
 KEGG:hsa04664    Fc epsilon RI signaling pathway
 KEGG:hsa04666    Fc gamma R-mediated phagocytosis
 KEGG:hsa04668    TNF signaling pathway
 KEGG:hsa04670    Leukocyte transendothelial migration
 KEGG:hsa04672    Intestinal immune network for IgA production
 KEGG:hsa04710    Circadian rhythm
 KEGG:hsa04713    Circadian entrainment
 KEGG:hsa04720    Long-term potentiation
 KEGG:hsa04721    Synaptic vesicle cycle
 KEGG:hsa04722    Neurotrophin signaling pathway
 KEGG:hsa04723    Retrograde endocannabinoid signaling
 KEGG:hsa04724    Glutamatergic synapse
 KEGG:hsa04725    Cholinergic synapse
 KEGG:hsa04726    Serotonergic synapse
 KEGG:hsa04727    GABAergic synapse
 KEGG:hsa04728    Dopaminergic synapse
 KEGG:hsa04730    Long-term depression
 KEGG:hsa04740    Olfactory transduction
 KEGG:hsa04742    Taste transduction
 KEGG:hsa04744    Phototransduction
 KEGG:hsa04750    Inflammatory mediator regulation of TRP channels
 KEGG:hsa04810    Regulation of actin cytoskeleton
 KEGG:hsa04910    Insulin signaling pathway
 KEGG:hsa04911    Insulin secretion
 KEGG:hsa04912    GnRH signaling pathway
 KEGG:hsa04913    Ovarian steroidogenesis
 KEGG:hsa04914    Progesterone-mediated oocyte maturation
 KEGG:hsa04915    Estrogen signaling pathway
 KEGG:hsa04916    Melanogenesis
 KEGG:hsa04917    Prolactin signaling pathway
 KEGG:hsa04918    Thyroid hormone synthesis
 KEGG:hsa04919    Thyroid hormone signaling pathway
 KEGG:hsa04920    Adipocytokine signaling pathway
 KEGG:hsa04921    Oxytocin signaling pathway
 KEGG:hsa04922    Glucagon signaling pathway
 KEGG:hsa04923    Regulation of lipolysis in adipocytes
 KEGG:hsa04924    Renin secretion
 KEGG:hsa04925    Aldosterone synthesis and secretion
 KEGG:hsa04930    Type II diabetes mellitus
 KEGG:hsa04931    Insulin resistance
 KEGG:hsa04932    Non-alcoholic fatty liver disease (NAFLD)
 KEGG:hsa04933    AGE-RAGE signaling pathway in diabetic complications
 KEGG:hsa04940    Type I diabetes mellitus
 KEGG:hsa04950    Maturity onset diabetes of the young
 KEGG:hsa04960    Aldosterone-regulated sodium reabsorption
 KEGG:hsa04961    Endocrine and other factor-regulated calcium reabsorption
 KEGG:hsa04962    Vasopressin-regulated water reabsorption
 KEGG:hsa04964    Proximal tubule bicarbonate reclamation
 KEGG:hsa04966    Collecting duct acid secretion
 KEGG:hsa04970    Salivary secretion
 KEGG:hsa04971    Gastric acid secretion
 KEGG:hsa04972    Pancreatic secretion
 KEGG:hsa04973    Carbohydrate digestion and absorption
 KEGG:hsa04974    Protein digestion and absorption
 KEGG:hsa04975    Fat digestion and absorption
 KEGG:hsa04976    Bile secretion
 KEGG:hsa04977    Vitamin digestion and absorption
 KEGG:hsa04978    Mineral absorption
 KEGG:hsa05010    Alzheimer's disease
 KEGG:hsa05012    Parkinson's disease
 KEGG:hsa05014    Amyotrophic lateral sclerosis (ALS)
 KEGG:hsa05016    Huntington's disease
 KEGG:hsa05020    Prion diseases
 KEGG:hsa05030    Cocaine addiction
 KEGG:hsa05031    Amphetamine addiction
 KEGG:hsa05032    Morphine addiction
 KEGG:hsa05033    Nicotine addiction
 KEGG:hsa05034    Alcoholism
 KEGG:hsa05100    Bacterial invasion of epithelial cells
 KEGG:hsa05110    Vibrio cholerae infection
 KEGG:hsa05120    Epithelial cell signaling in Helicobacter pylori infection
 KEGG:hsa05130    Pathogenic Escherichia coli infection
 KEGG:hsa05131    Shigellosis
 KEGG:hsa05132    Salmonella infection
 KEGG:hsa05133    Pertussis
 KEGG:hsa05134    Legionellosis
 KEGG:hsa05140    Leishmaniasis
 KEGG:hsa05142    Chagas disease (American trypanosomiasis)
 KEGG:hsa05143    African trypanosomiasis
 KEGG:hsa05144    Malaria
 KEGG:hsa05145    Toxoplasmosis
 KEGG:hsa05146    Amoebiasis
 KEGG:hsa05150    Staphylococcus aureus infection
 KEGG:hsa05152    Tuberculosis
 KEGG:hsa05160    Hepatitis C
 KEGG:hsa05161    Hepatitis B
 KEGG:hsa05162    Measles
 KEGG:hsa05164    Influenza A
 KEGG:hsa05166    HTLV-I infection
 KEGG:hsa05168    Herpes simplex infection
 KEGG:hsa05169    Epstein-Barr virus infection
 KEGG:hsa05200    Pathways in cancer
 KEGG:hsa05202    Transcriptional misregulation in cancer
 KEGG:hsa05203    Viral carcinogenesis
 KEGG:hsa05204    Chemical carcinogenesis
 KEGG:hsa05205    Proteoglycans in cancer
 KEGG:hsa05206    MicroRNAs in cancer
 KEGG:hsa05210    Colorectal cancer
 KEGG:hsa05211    Renal cell carcinoma
 KEGG:hsa05212    Pancreatic cancer
 KEGG:hsa05213    Endometrial cancer
 KEGG:hsa05214    Glioma
 KEGG:hsa05215    Prostate cancer
 KEGG:hsa05216    Thyroid cancer
 KEGG:hsa05217    Basal cell carcinoma
 KEGG:hsa05218    Melanoma
 KEGG:hsa05219    Bladder cancer
 KEGG:hsa05220    Chronic myeloid leukemia
 KEGG:hsa05221    Acute myeloid leukemia
 KEGG:hsa05222    Small cell lung cancer
 KEGG:hsa05223    Non-small cell lung cancer
 KEGG:hsa05224    Breast cancer
 KEGG:hsa05230    Central carbon metabolism in cancer
 KEGG:hsa05231    Choline metabolism in cancer
 KEGG:hsa05310    Asthma
 KEGG:hsa05320    Autoimmune thyroid disease
 KEGG:hsa05321    Inflammatory bowel disease (IBD)
 KEGG:hsa05322    Systemic lupus erythematosus
 KEGG:hsa05323    Rheumatoid arthritis
 KEGG:hsa05330    Allograft rejection
 KEGG:hsa05332    Graft-versus-host disease
 KEGG:hsa05340    Primary immunodeficiency
 KEGG:hsa05410    Hypertrophic cardiomyopathy (HCM)
 KEGG:hsa05412    Arrhythmogenic right ventricular cardiomyopathy (ARVC)
 KEGG:hsa05414    Dilated cardiomyopathy
 KEGG:hsa05416    Viral myocarditis
 KEGG:hsa05418    Fluid shear stress and atherosclerosis
 KEGG:hsa_M00001    "Glycolysis (Embden-Meyerhof pathway)  glucose => pyruvate"
 KEGG:hsa_M00002    "Glycolysis  core module involving three-carbon compounds"
 KEGG:hsa_M00003    "Gluconeogenesis  oxaloacetate => fructose-6P"
 KEGG:hsa_M00004    Pentose phosphate pathway (Pentose phosphate cycle)
 KEGG:hsa_M00005    "PRPP biosynthesis  ribose 5P => PRPP"
 KEGG:hsa_M00006    "Pentose phosphate pathway  oxidative phase  glucose 6P => ribulose 5P"
 KEGG:hsa_M00007    "Pentose phosphate pathway  non-oxidative phase  fructose 6P => ribose 5P"
 KEGG:hsa_M00009    "Citrate cycle (TCA cycle  Krebs cycle)"
 KEGG:hsa_M00010    "Citrate cycle  first carbon oxidation  oxaloacetate => 2-oxoglutarate"
 KEGG:hsa_M00011    "Citrate cycle  second carbon oxidation  2-oxoglutarate => oxaloacetate"
 KEGG:hsa_M00013    "Malonate semialdehyde pathway  propanoyl-CoA => acetyl-CoA"
 KEGG:hsa_M00014    Glucuronate pathway (uronate pathway)
 KEGG:hsa_M00015    "Proline biosynthesis  glutamate => proline"
 KEGG:hsa_M00020    "Serine biosynthesis  glycerate-3P => serine"
 KEGG:hsa_M00027    GABA (gamma-Aminobutyrate) shunt
 KEGG:hsa_M00029    Urea cycle
 KEGG:hsa_M00032    "Lysine degradation  lysine => saccharopine => acetoacetyl-CoA"
 KEGG:hsa_M00034    Methionine salvage pathway
 KEGG:hsa_M00035    Methionine degradation
 KEGG:hsa_M00036    "Leucine degradation  leucine => acetoacetate + acetyl-CoA"
 KEGG:hsa_M00037    "Melatonin biosynthesis  tryptophan => serotonin => melatonin"
 KEGG:hsa_M00042    "Catecholamine biosynthesis  tyrosine => dopamine => noradrenaline => adrenaline"
 KEGG:hsa_M00043    "Thyroid hormone biosynthesis  tyrosine => triiodothyronine/thyroxine"
 KEGG:hsa_M00044    "Tyrosine degradation  tyrosine => homogentisate"
 KEGG:hsa_M00046    "Pyrimidine degradation  uracil => beta-alanine  thymine => 3-aminoisobutanoate"
 KEGG:hsa_M00047    Creatine pathway
 KEGG:hsa_M00048    "Inosine monophosphate biosynthesis  PRPP + glutamine => IMP"
 KEGG:hsa_M00049    "Adenine ribonucleotide biosynthesis  IMP => ADP ATP"
 KEGG:hsa_M00050    "Guanine ribonucleotide biosynthesis IMP => GDP GTP"
 KEGG:hsa_M00051    "Uridine monophosphate biosynthesis  glutamine (+ PRPP) => UMP"
 KEGG:hsa_M00052    "Pyrimidine ribonucleotide biosynthesis  UMP => UDP/UTP CDP/CTP"
 KEGG:hsa_M00055    N-glycan precursor biosynthesis
 KEGG:hsa_M00056    "O-glycan biosynthesis  mucin type core"
 KEGG:hsa_M00057    "Glycosaminoglycan biosynthesis  linkage tetrasaccharide"
 KEGG:hsa_M00058    "Glycosaminoglycan biosynthesis  chondroitin sulfate backbone"
 KEGG:hsa_M00059    "Glycosaminoglycan biosynthesis  heparan sulfate backbone"
 KEGG:hsa_M00065    "GPI-anchor biosynthesis  core oligosaccharide"
 KEGG:hsa_M00066    Lactosylceramide biosynthesis
 KEGG:hsa_M00067    "Sulfoglycolipids biosynthesis  ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid"
 KEGG:hsa_M00068    "Glycosphingolipid biosynthesis  globo-series  LacCer => Gb4Cer"
 KEGG:hsa_M00069    "Glycosphingolipid biosynthesis  ganglio series  LacCer => GT3"
 KEGG:hsa_M00070    "Glycosphingolipid biosynthesis  lacto-series  LacCer => Lc4Cer"
 KEGG:hsa_M00071    "Glycosphingolipid biosynthesis  neolacto-series  LacCer => nLc4Cer"
 KEGG:hsa_M00072    N-glycosylation by oligosaccharyltransferase
 KEGG:hsa_M00073    N-glycan precursor trimming
 KEGG:hsa_M00075    "N-glycan biosynthesis  complex type"
 KEGG:hsa_M00076    Dermatan sulfate degradation
 KEGG:hsa_M00077    Chondroitin sulfate degradation
 KEGG:hsa_M00078    Heparan sulfate degradation
 KEGG:hsa_M00079    Keratan sulfate degradation
 KEGG:hsa_M00082    "Fatty acid biosynthesis  initiation"
 KEGG:hsa_M00083    "Fatty acid biosynthesis  elongation"
 KEGG:hsa_M00085    "Fatty acid biosynthesis  elongation  mitochondria"
 KEGG:hsa_M00086    "beta-Oxidation  acyl-CoA synthesis"
 KEGG:hsa_M00087    beta-Oxidation
 KEGG:hsa_M00089    Triacylglycerol biosynthesis
 KEGG:hsa_M00090    "Phosphatidylcholine (PC) biosynthesis  choline => PC"
 KEGG:hsa_M00091    "Phosphatidylcholine (PC) biosynthesis  PE => PC"
 KEGG:hsa_M00092    "Phosphatidylethanolamine (PE) biosynthesis  ethanolamine => PE"
 KEGG:hsa_M00094    Ceramide biosynthesis
 KEGG:hsa_M00095    "C5 isoprenoid biosynthesis  mevalonate pathway"
 KEGG:hsa_M00098    Acylglycerol degradation
 KEGG:hsa_M00099    Sphingosine biosynthesis
 KEGG:hsa_M00100    Sphingosine degradation
 KEGG:hsa_M00101    "Cholesterol biosynthesis  squalene 2 3-epoxide => cholesterol"
 KEGG:hsa_M00103    Cholecalciferol biosynthesis
 KEGG:hsa_M00104    "Bile acid biosynthesis  cholesterol => cholate/chenodeoxycholate"
 KEGG:hsa_M00106    "Conjugated bile acid biosynthesis  cholate => taurocholate/glycocholate"
 KEGG:hsa_M00107    "Steroid hormone biosynthesis  cholesterol => prognenolone => progesterone"
 KEGG:hsa_M00108    "C21-Steroid hormone biosynthesis  progesterone => corticosterone/aldosterone"
 KEGG:hsa_M00109    "C21-Steroid hormone biosynthesis  progesterone => cortisol/cortisone"
 KEGG:hsa_M00110    "C19/C18-Steroid hormone biosynthesis  pregnenolone => androstenedione => estrone"
 KEGG:hsa_M00118    "Glutathione biosynthesis  glutamate => glutathione"
 KEGG:hsa_M00120    "Coenzyme A biosynthesis  pantothenate => CoA"
 KEGG:hsa_M00128    "Ubiquinone biosynthesis  eukaryotes  4-hydroxybenzoate => ubiquinone"
 KEGG:hsa_M00130    "Inositol phosphate metabolism  PI=> PIP2 => Ins(1 4 5)P3 => Ins(1 3 4 5)P4"
 KEGG:hsa_M00131    "Inositol phosphate metabolism  Ins(1 3 4 5)P4 => Ins(1 3 4)P3 => myo-inositol"
 KEGG:hsa_M00132    "Inositol phosphate metabolism  Ins(1 3 4)P3 => phytate"
 KEGG:hsa_M00133    "Polyamine biosynthesis  arginine => agmatine => putrescine => spermidine"
 KEGG:hsa_M00134    "Polyamine biosynthesis  arginine => ornithine => putrescine"
 KEGG:hsa_M00135    "GABA biosynthesis  eukaryotes  putrescine => GABA"
 KEGG:hsa_M00141    "C1-unit interconversion  eukaryotes"
 KEGG:hsa_M00142    "NADH:ubiquinone oxidoreductase  mitochondria"
 KEGG:hsa_M00143    "NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex  mitochondria"
 KEGG:hsa_M00146    NADH dehydrogenase (ubiquinone) 1 alpha subcomplex
 KEGG:hsa_M00147    NADH dehydrogenase (ubiquinone) 1 beta subcomplex
 KEGG:hsa_M00148    Succinate dehydrogenase (ubiquinone)
 KEGG:hsa_M00151    Cytochrome bc1 complex respiratory unit
 KEGG:hsa_M00152    Cytochrome bc1 complex
 KEGG:hsa_M00154    Cytochrome c oxidase
 KEGG:hsa_M00158    "F-type ATPase  eukaryotes"
 KEGG:hsa_M00160    "V-type ATPase  eukaryotes"
 KEGG:hsa_M00177    "Ribosome  eukaryotes"
 KEGG:hsa_M00180    "RNA polymerase II  eukaryotes"
 KEGG:hsa_M00181    "RNA polymerase III  eukaryotes"
 KEGG:hsa_M00182    "RNA polymerase I  eukaryotes"
 KEGG:hsa_M00261    DNA polymerase alpha / primase complex
 KEGG:hsa_M00262    DNA polymerase delta complex
 KEGG:hsa_M00263    DNA polymerase epsilon complex
 KEGG:hsa_M00284    Origin recognition complex
 KEGG:hsa_M00285    MCM complex
 KEGG:hsa_M00286    GINS complex
 KEGG:hsa_M00288    RPA complex
 KEGG:hsa_M00289    RF-C complex
 KEGG:hsa_M00290    Holo-TFIIH complex
 KEGG:hsa_M00291    MRN complex
 KEGG:hsa_M00293    DNA polymerase zeta  complex
 KEGG:hsa_M00294    DNA polymerase gamma complex
 KEGG:hsa_M00295    BRCA1-associated genome surveillance complex (BASC)
 KEGG:hsa_M00296    BER complex
 KEGG:hsa_M00297    DNA-PK complex
 KEGG:hsa_M00307    "Pyruvate oxidation  pyruvate => acetyl-CoA"
 KEGG:hsa_M00337    Immunoproteasome
 KEGG:hsa_M00338    "Cysteine biosynthesis  homocysteine + serine => cysteine"
 KEGG:hsa_M00340    "Proteasome  20S core particle"
 KEGG:hsa_M00341    "Proteasome  19S regulatory particle (PA700)"
 KEGG:hsa_M00351    "Spliceosome  U1-snRNP"
 KEGG:hsa_M00352    "Spliceosome  U2-snRNP"
 KEGG:hsa_M00353    "Spliceosome  Prp19/CDC5L complex"
 KEGG:hsa_M00354    "Spliceosome  U4/U6.U5 tri-snRNP"
 KEGG:hsa_M00355    "Spliceosome  35S U5-snRNP"
 KEGG:hsa_M00359    "Aminoacyl-tRNA biosynthesis  eukaryotes"
 KEGG:hsa_M00361    "Nucleotide sugar biosynthesis  eukaryotes"
 KEGG:hsa_M00380    SCF-BTRC complex
 KEGG:hsa_M00381    SCF-SKP2 complex
 KEGG:hsa_M00382    SCF-FBS complex
 KEGG:hsa_M00383    ECV complex
 KEGG:hsa_M00384    Cul3-SPOP complex
 KEGG:hsa_M00385    Cul4-DDB1-DDB2 complex
 KEGG:hsa_M00386    Cul4-DDB1-CSA complex
 KEGG:hsa_M00387    SCF-FBW7 complex
 KEGG:hsa_M00388    ECS complex
 KEGG:hsa_M00389    APC/C complex
 KEGG:hsa_M00390    "Exosome  archaea"
 KEGG:hsa_M00391    "Exosome  eukaryotes"
 KEGG:hsa_M00392    Ski complex
 KEGG:hsa_M00393    TRAMP complex
 KEGG:hsa_M00395    Decapping complex
 KEGG:hsa_M00396    Lsm 2-8 complex
 KEGG:hsa_M00397    Lsm 1-7 complex
 KEGG:hsa_M00398    Sm core complex
 KEGG:hsa_M00399    Cap binding complex
 KEGG:hsa_M00400    p97-Ufd1-Npl4 complex
 KEGG:hsa_M00401    Sec61 complex
 KEGG:hsa_M00402    Translocon-associated protein (TRAP) complex
 KEGG:hsa_M00403    HRD1/SEL1 ERAD complex
 KEGG:hsa_M00404    COPII complex
 KEGG:hsa_M00405    THC complex
 KEGG:hsa_M00406    TREX complex
 KEGG:hsa_M00408    ESCRT-0 complex
 KEGG:hsa_M00409    ESCRT-I complex
 KEGG:hsa_M00410    ESCRT-II complex
 KEGG:hsa_M00412    ESCRT-III complex
 KEGG:hsa_M00413    FA core complex
 KEGG:hsa_M00414    Bloom's syndrome complex
 KEGG:hsa_M00415    "Fatty acid biosynthesis  elongation  endoplasmic reticulum"
 KEGG:hsa_M00424    Shelterin complex
 KEGG:hsa_M00425    H/ACA ribonucleoprotein complex
 KEGG:hsa_M00426    Survival motor neuron (SMN) complex
 KEGG:hsa_M00427    Nuclear pore complex
 KEGG:hsa_M00428    eIF4F complex
 KEGG:hsa_M00430    Exon junction complex (EJC)
 KEGG:hsa_M00549    "Nucleotide sugar biosynthesis  glucose => UDP-glucose"
 KEGG:hsa_M00554    "Nucleotide sugar biosynthesis  galactose => UDP-galactose"
 KEGG:hsa_M00632    "Galactose degradation  Leloir pathway  galactose => alpha-D-glucose-1P"
 KEGG:hsa_M00676    PI3K-Akt signaling
 KEGG:hsa_M00677    Wnt signaling
 KEGG:hsa_M00678    Hedgehog signaling
 KEGG:hsa_M00679    BMP signaling
 KEGG:hsa_M00680    TGF-beta signaling
 KEGG:hsa_M00681    Activin signaling
 KEGG:hsa_M00682    Notch signaling
 KEGG:hsa_M00683    Hippo signaling
 KEGG:hsa_M00684    JAK-STAT signaling
 KEGG:hsa_M00685    Apoptotic machinery
 KEGG:hsa_M00686    Toll-like receptor signaling
 KEGG:hsa_M00687    MAPK (ERK1/2) signaling
 KEGG:hsa_M00688    MAPK (JNK) signaling
 KEGG:hsa_M00689    MAPK (p38) signaling
 KEGG:hsa_M00690    MAPK (ERK5) signaling
 KEGG:hsa_M00691    DNA damage-induced cell cycle checkpoints
 KEGG:hsa_M00692    Cell cycle - G1/S transition
