39.723 number of GO processes
16.6302 GO:0007601	 visual perception
6.46051 GO:0032981	 mitochondrial respiratory chain complex I assembly
6.44069 GO:0030183	 B cell differentiation
6.43974 GO:0007219	 Notch signaling pathway
6.43104 GO:0030282	 bone mineralization
6.42374 GO:0051649	 establishment of localization in cell
6.38856 GO:0001764	 neuron migration
6.3792 GO:0006874	 cellular calcium ion homeostasis
6.37494 GO:0007268	 chemical synaptic transmission
6.35564 GO:0042776	 proton motive force-driven mitochondrial ATP synthesis
6.33198 GO:0006488	 dolichol-linked oligosaccharide biosynthetic process
6.32969 GO:0048701	 embryonic cranial skeleton morphogenesis
6.32425 GO:0035725	 sodium ion transmembrane transport
6.30306 GO:0002027	 regulation of heart rate
6.30063 GO:0030198	 extracellular matrix organization
6.28058 GO:0071333	 cellular response to glucose stimulus
6.28004 GO:0021987	 cerebral cortex development
6.23521 GO:0007249	 I-kappaB kinase/NF-kappaB signaling
6.19398 GO:0065003	 protein-containing complex assembly
6.18013 GO:0045471	 response to ethanol
6.1788 GO:0070374	 positive regulation of ERK1 and ERK2 cascade
6.17651 GO:0050908	 detection of light stimulus involved in visual perception
6.17651 GO:0048844	 artery morphogenesis
6.17651 GO:0021983	 pituitary gland development
6.16969 GO:0030509	 BMP signaling pathway
6.15775 GO:0050673	 epithelial cell proliferation
6.14643 GO:0006006	 glucose metabolic process
6.13492 GO:0001658	 branching involved in ureteric bud morphogenesis
6.13374 GO:0002053	 positive regulation of mesenchymal cell proliferation
6.10081 GO:0030326	 embryonic limb morphogenesis
6.09299 GO:0086002	 cardiac muscle cell action potential involved in contraction
6.09249 GO:0006298	 mismatch repair
6.06679 GO:1902600	 proton transmembrane transport
6.06561 GO:0031647	 regulation of protein stability
6.06561 GO:0014068	 positive regulation of phosphatidylinositol 3-kinase signaling
5.97518 GO:0008104	 protein localization
5.95182 GO:0019221	 cytokine-mediated signaling pathway
5.94004 GO:0002009	 morphogenesis of an epithelium
5.93358 GO:0006091	 generation of precursor metabolites and energy
5.92999 GO:0032496	 response to lipopolysaccharide
5.92927 GO:0098703	 calcium ion import across plasma membrane
5.92927 GO:0009953	 dorsal/ventral pattern formation
5.9072 GO:0008217	 regulation of blood pressure
5.89851 GO:0032760	 positive regulation of tumor necrosis factor production
5.8971 GO:0030335	 positive regulation of cell migration
5.87743 GO:0006956	 complement activation
5.87743 GO:0003148	 outflow tract septum morphogenesis
5.87385 GO:0021915	 neural tube development
5.86651 GO:0055074	 calcium ion homeostasis
5.8129 GO:0071560	 cellular response to transforming growth factor beta stimulus
5.8129 GO:0007611	 learning or memory
5.78239 GO:0001568	 blood vessel development
5.77447 GO:0034765	 regulation of monoatomic ion transmembrane transport
5.76077 GO:0050679	 positive regulation of epithelial cell proliferation
5.75381 GO:0086005	 ventricular cardiac muscle cell action potential
5.73243 GO:0001525	 angiogenesis
5.7267 GO:0070085	 glycosylation
5.72005 GO:0045766	 positive regulation of angiogenesis
5.71894 GO:1904707	 positive regulation of vascular associated smooth muscle cell proliferation
5.71894 GO:0045214	 sarcomere organization
5.70855 GO:0030097	 hemopoiesis
5.70855 GO:0010595	 positive regulation of endothelial cell migration
5.6951 GO:0030539	 male genitalia development
5.69192 GO:0060021	 roof of mouth development
5.6874 GO:0006936	 muscle contraction
5.66884 GO:0040018	 positive regulation of multicellular organism growth
5.66884 GO:0007628	 adult walking behavior
5.66484 GO:0098609	 cell-cell adhesion
5.65172 GO:0050731	 positive regulation of peptidyl-tyrosine phosphorylation
5.64067 GO:0048565	 digestive tract development
5.6389 GO:0048873	 homeostasis of number of cells within a tissue
5.6389 GO:0001958	 endochondral ossification
5.63827 GO:0007275	 multicellular organism development
5.63743 GO:0007623	 circadian rhythm
5.6331 GO:0050852	 T cell receptor signaling pathway
5.63168 GO:0006979	 response to oxidative stress
5.62247 GO:0046777	 protein autophosphorylation
5.59242 GO:0008344	 adult locomotory behavior
5.59242 GO:0002062	 chondrocyte differentiation
5.56805 GO:0008584	 male gonad development
5.54479 GO:0050766	 positive regulation of phagocytosis
5.53828 GO:0098655	 monoatomic cation transmembrane transport
5.53431 GO:0042391	 regulation of membrane potential
5.53431 GO:0016485	 protein processing
5.50366 GO:0048015	 phosphatidylinositol-mediated signaling
5.50366 GO:0045582	 positive regulation of T cell differentiation
5.49966 GO:0035176	 social behavior
5.4979 GO:1990573	 potassium ion import across plasma membrane
5.49602 GO:1904888	 cranial skeletal system development
5.49602 GO:0050905	 neuromuscular process
5.49602 GO:0036158	 outer dynein arm assembly
5.49232 GO:0007626	 locomotory behavior
5.48798 GO:0009653	 anatomical structure morphogenesis
5.46247 GO:0001503	 ossification
5.45946 GO:0001570	 vasculogenesis
5.44442 GO:0042476	 odontogenesis
5.44077 GO:0035994	 response to muscle stretch
5.44077 GO:0033189	 response to vitamin A
5.44077 GO:0032332	 positive regulation of chondrocyte differentiation
5.42148 GO:0035115	 embryonic forelimb morphogenesis
5.41457 GO:0043406	 positive regulation of MAP kinase activity
5.40962 GO:0060307	 regulation of ventricular cardiac muscle cell membrane repolarization
5.40962 GO:0046716	 muscle cell cellular homeostasis
5.40962 GO:0030301	 cholesterol transport
5.40962 GO:0008589	 regulation of smoothened signaling pathway
5.40717 GO:0030501	 positive regulation of bone mineralization
5.40457 GO:0060325	 face morphogenesis
5.40457 GO:0030878	 thyroid gland development
5.40457 GO:0003341	 cilium movement
5.40278 GO:0045666	 positive regulation of neuron differentiation
5.39596 GO:0030325	 adrenal gland development
5.36385 GO:0030217	 T cell differentiation
5.36385 GO:0003007	 heart morphogenesis
5.36385 GO:0001541	 ovarian follicle development
5.35841 GO:0050821	 protein stabilization
5.35647 GO:0007179	 transforming growth factor beta receptor signaling pathway
5.34488 GO:0006094	 gluconeogenesis
5.33868 GO:0071466	 cellular response to xenobiotic stimulus
5.32915 GO:0042593	 glucose homeostasis
5.32234 GO:0061512	 protein localization to cilium
5.32234 GO:0033077	 T cell differentiation in thymus
5.31524 GO:0043410	 positive regulation of MAPK cascade
5.31472 GO:0086012	 membrane depolarization during cardiac muscle cell action potential
5.31472 GO:0050884	 neuromuscular process controlling posture
5.31472 GO:0035845	 photoreceptor cell outer segment organization
5.30673 GO:0010862	 positive regulation of pathway-restricted SMAD protein phosphorylation
5.27889 GO:0051289	 protein homotetramerization
5.25971 GO:0051091	 positive regulation of DNA-binding transcription factor activity
5.24669 GO:0031069	 hair follicle morphogenesis
5.23119 GO:0032869	 cellular response to insulin stimulus
5.22784 GO:0022008	 neurogenesis
5.22687 GO:0070986	 left/right axis specification
5.22687 GO:0003091	 renal water homeostasis
5.21384 GO:0099505	 regulation of presynaptic membrane potential
5.21384 GO:0071773	 cellular response to BMP stimulus
5.20565 GO:0042632	 cholesterol homeostasis
5.19524 GO:0006120	 mitochondrial electron transport, NADH to ubiquinone
5.18551 GO:0048741	 skeletal muscle fiber development
5.17884 GO:0030643	 cellular phosphate ion homeostasis
5.17884 GO:0007603	 phototransduction, visible light
5.17597 GO:0060065	 uterus development
5.17597 GO:0006103	 2-oxoglutarate metabolic process
5.16921 GO:0051592	 response to calcium ion
5.16921 GO:0045165	 cell fate commitment
5.15305 GO:0030036	 actin cytoskeleton organization
5.15029 GO:0060047	 heart contraction
5.15029 GO:0055075	 potassium ion homeostasis
5.15029 GO:0003203	 endocardial cushion morphogenesis
5.14784 GO:0051179	 localization
5.14784 GO:0048754	 branching morphogenesis of an epithelial tube
5.14253 GO:0060324	 face development
5.14253 GO:0032402	 melanosome transport
5.14105 GO:0072089	 stem cell proliferation
5.13938 GO:0050728	 negative regulation of inflammatory response
5.10413 GO:0045669	 positive regulation of osteoblast differentiation
5.10118 GO:0042311	 vasodilation
5.10118 GO:0006695	 cholesterol biosynthetic process
5.09668 GO:0048666	 neuron development
5.0569 GO:0036297	 interstrand cross-link repair
5.05552 GO:0032868	 response to insulin
5.05552 GO:0009636	 response to toxic substance
5.05135 GO:0006814	 sodium ion transport
5.03502 GO:0071320	 cellular response to cAMP
5.03502 GO:0045597	 positive regulation of cell differentiation
5.03208 GO:1900087	 positive regulation of G1/S transition of mitotic cell cycle
5.03148 GO:0009615	 response to virus
5.02993 GO:0071548	 response to dexamethasone
5.02993 GO:0036159	 inner dynein arm assembly
5.02993 GO:0016558	 protein import into peroxisome matrix
5.02993 GO:0009083	 branched-chain amino acid catabolic process
5.02173 GO:0007411	 axon guidance
5.01515 GO:2000648	 positive regulation of stem cell proliferation
5.00327 GO:0050727	 regulation of inflammatory response
4.98672 GO:0006366	 transcription by RNA polymerase II
4.97664 GO:0048009	 insulin-like growth factor receptor signaling pathway
4.96849 GO:0051384	 response to glucocorticoid
4.94478 GO:1904385	 cellular response to angiotensin
4.94256 GO:0007409	 axonogenesis
4.94231 GO:1904706	 negative regulation of vascular associated smooth muscle cell proliferation
4.94231 GO:0042073	 intraciliary transport
4.94231 GO:0030534	 adult behavior
4.94231 GO:0003009	 skeletal muscle contraction
4.92587 GO:0070555	 response to interleukin-1
4.92587 GO:0055072	 iron ion homeostasis
4.92587 GO:0003180	 aortic valve morphogenesis
4.91341 GO:0044458	 motile cilium assembly
4.91341 GO:0006812	 monoatomic cation transport
4.91341 GO:0001782	 B cell homeostasis
4.91042 GO:0030218	 erythrocyte differentiation
4.90866 GO:0051092	 positive regulation of NF-kappaB transcription factor activity
4.9053 GO:0006816	 calcium ion transport
4.90399 GO:0051216	 cartilage development
4.89939 GO:1990403	 embryonic brain development
4.89939 GO:0035265	 organ growth
4.89939 GO:0021954	 central nervous system neuron development
4.89939 GO:0006957	 complement activation, alternative pathway
4.89548 GO:0006338	 chromatin remodeling
4.89166 GO:0043473	 pigmentation
4.89166 GO:0030318	 melanocyte differentiation
4.88438 GO:0034220	 monoatomic ion transmembrane transport
4.88211 GO:0060371	 regulation of atrial cardiac muscle cell membrane depolarization
4.88211 GO:0046548	 retinal rod cell development
4.88211 GO:0009235	 cobalamin metabolic process
4.88211 GO:0007494	 midgut development
4.88032 GO:0060391	 positive regulation of SMAD protein signal transduction
4.88032 GO:0010165	 response to X-ray
4.88032 GO:0001502	 cartilage condensation
4.87947 GO:0090103	 cochlea morphogenesis
4.87947 GO:0048589	 developmental growth
4.87947 GO:0031016	 pancreas development
4.87947 GO:0007031	 peroxisome organization
4.86979 GO:0000165	 MAPK cascade
4.83886 GO:0071230	 cellular response to amino acid stimulus
4.83646 GO:0042060	 wound healing
4.82469 GO:0060071	 Wnt signaling pathway, planar cell polarity pathway
4.82469 GO:0045880	 positive regulation of smoothened signaling pathway
4.81519 GO:0030177	 positive regulation of Wnt signaling pathway
4.81519 GO:0006096	 glycolytic process
4.80586 GO:0006954	 inflammatory response
4.80339 GO:0090263	 positive regulation of canonical Wnt signaling pathway
4.79481 GO:0045892	 negative regulation of DNA-templated transcription
4.78926 GO:0009749	 response to glucose
4.78431 GO:0030890	 positive regulation of B cell proliferation
4.77708 GO:2000463	 positive regulation of excitatory postsynaptic potential
4.77708 GO:0090102	 cochlea development
4.77708 GO:0035987	 endodermal cell differentiation
4.77708 GO:0007389	 pattern specification process
4.77599 GO:0009612	 response to mechanical stimulus
4.77309 GO:0070371	 ERK1 and ERK2 cascade
4.77309 GO:0008543	 fibroblast growth factor receptor signaling pathway
4.76468 GO:0006357	 regulation of transcription by RNA polymerase II
4.73784 GO:0008544	 epidermis development
4.7323 GO:0001656	 metanephros development
4.72901 GO:0098911	 regulation of ventricular cardiac muscle cell action potential
4.72901 GO:0071257	 cellular response to electrical stimulus
4.72901 GO:0050891	 multicellular organismal water homeostasis
4.72901 GO:0035721	 intraciliary retrograde transport
4.72901 GO:0032495	 response to muramyl dipeptide
4.72901 GO:0030644	 cellular chloride ion homeostasis
4.72901 GO:0006119	 oxidative phosphorylation
4.72053 GO:0071363	 cellular response to growth factor stimulus
4.71117 GO:0010468	 regulation of gene expression
4.70801 GO:1902895	 positive regulation of miRNA transcription
4.70671 GO:0010718	 positive regulation of epithelial to mesenchymal transition
4.69126 GO:1990000	 amyloid fibril formation
4.69126 GO:0055010	 ventricular cardiac muscle tissue morphogenesis
4.65895 GO:0043123	 positive regulation of I-kappaB kinase/NF-kappaB signaling
4.65522 GO:0040014	 regulation of multicellular organism growth
4.65522 GO:0006783	 heme biosynthetic process
4.64784 GO:0070102	 interleukin-6-mediated signaling pathway
4.64784 GO:0060088	 auditory receptor cell stereocilium organization
4.64784 GO:0046549	 retinal cone cell development
4.6397 GO:0060348	 bone development
4.62839 GO:0120162	 positive regulation of cold-induced thermogenesis
4.6259 GO:0098719	 sodium ion import across plasma membrane
4.6259 GO:0016064	 immunoglobulin mediated immune response
4.6259 GO:0006882	 cellular zinc ion homeostasis
4.60946 GO:0048745	 smooth muscle tissue development
4.60946 GO:0042551	 neuron maturation
4.60946 GO:0035909	 aorta morphogenesis
4.60946 GO:0033630	 positive regulation of cell adhesion mediated by integrin
4.60946 GO:0006744	 ubiquinone biosynthetic process
4.60946 GO:0001964	 startle response
4.60575 GO:0048168	 regulation of neuronal synaptic plasticity
4.59842 GO:0071310	 cellular response to organic substance
4.59842 GO:0034374	 low-density lipoprotein particle remodeling
4.59842 GO:0033365	 protein localization to organelle
4.59842 GO:0010039	 response to iron ion
4.59331 GO:0055088	 lipid homeostasis
4.59331 GO:0001942	 hair follicle development
4.58604 GO:0060173	 limb development
4.58443 GO:0016192	 vesicle-mediated transport
4.58023 GO:0014070	 response to organic cyclic compound
4.57543 GO:0060079	 excitatory postsynaptic potential
4.57211 GO:0050853	 B cell receptor signaling pathway
4.57211 GO:0006289	 nucleotide-excision repair
4.56629 GO:0097502	 mannosylation
4.56629 GO:0071321	 cellular response to cGMP
4.56629 GO:0071281	 cellular response to iron ion
4.56629 GO:0070286	 axonemal dynein complex assembly
4.56629 GO:0061337	 cardiac conduction
4.56629 GO:0061312	 BMP signaling pathway involved in heart development
4.56629 GO:0035315	 hair cell differentiation
4.56629 GO:0032808	 lacrimal gland development
4.56629 GO:0030916	 otic vesicle formation
4.55806 GO:0051897	 positive regulation of protein kinase B signaling
4.55603 GO:0030216	 keratinocyte differentiation
4.55603 GO:0019722	 calcium-mediated signaling
4.53961 GO:0007399	 nervous system development
4.53196 GO:0007585	 respiratory gaseous exchange by respiratory system
4.52954 GO:0030513	 positive regulation of BMP signaling pathway
4.52335 GO:0033138	 positive regulation of peptidyl-serine phosphorylation
4.52335 GO:0006811	 monoatomic ion transport
4.50859 GO:0048661	 positive regulation of smooth muscle cell proliferation
4.49905 GO:0043525	 positive regulation of neuron apoptotic process
4.49905 GO:0008542	 visual learning
4.49905 GO:0006635	 fatty acid beta-oxidation
4.48299 GO:0060395	 SMAD protein signal transduction
4.48022 GO:0010332	 response to gamma radiation
4.47137 GO:0032755	 positive regulation of interleukin-6 production
4.46598 GO:0060412	 ventricular septum morphogenesis
4.46598 GO:0048536	 spleen development
4.46598 GO:0008015	 blood circulation
4.45072 GO:0006898	 receptor-mediated endocytosis
4.44286 GO:0048511	 rhythmic process
4.44286 GO:0045109	 intermediate filament organization
4.43591 GO:0050877	 nervous system process
4.43527 GO:0043407	 negative regulation of MAP kinase activity
4.43169 GO:0045453	 bone resorption
4.43169 GO:0035904	 aorta development
4.40896 GO:0070723	 response to cholesterol
4.40896 GO:0070294	 renal sodium ion absorption
4.40896 GO:0070166	 enamel mineralization
4.40896 GO:0061626	 pharyngeal arch artery morphogenesis
4.40896 GO:0055003	 cardiac myofibril assembly
4.40896 GO:0046638	 positive regulation of alpha-beta T cell differentiation
4.40896 GO:0036289	 peptidyl-serine autophosphorylation
4.40896 GO:0030203	 glycosaminoglycan metabolic process
4.40896 GO:0021517	 ventral spinal cord development
4.40896 GO:0019227	 neuronal action potential propagation
4.40896 GO:0014075	 response to amine
4.40896 GO:0008299	 isoprenoid biosynthetic process
4.40896 GO:0006782	 protoporphyrinogen IX biosynthetic process
4.40896 GO:0000301	 retrograde transport, vesicle recycling within Golgi
4.40896 GO:0000050	 urea cycle
4.40285 GO:2000352	 negative regulation of endothelial cell apoptotic process
4.40285 GO:0046427	 positive regulation of receptor signaling pathway via JAK-STAT
4.40285 GO:0045765	 regulation of angiogenesis
4.40285 GO:0001707	 mesoderm formation
4.40285 GO:0001569	 branching involved in blood vessel morphogenesis
4.38946 GO:0055085	 transmembrane transport
4.38757 GO:0071542	 dopaminergic neuron differentiation
4.38757 GO:0007042	 lysosomal lumen acidification
4.38109 GO:0002931	 response to ischemia
4.36613 GO:0071407	 cellular response to organic cyclic compound
4.36371 GO:0006606	 protein import into nucleus
4.36215 GO:0051209	 release of sequestered calcium ion into cytosol
4.3554 GO:0030900	 forebrain development
4.34955 GO:1903232	 melanosome assembly
4.34955 GO:0021772	 olfactory bulb development
4.34955 GO:0008340	 determination of adult lifespan
4.34955 GO:0005978	 glycogen biosynthetic process
4.34955 GO:0001892	 embryonic placenta development
4.34706 GO:0031175	 neuron projection development
4.34047 GO:0097421	 liver regeneration
4.33359 GO:1904753	 negative regulation of vascular associated smooth muscle cell migration
4.33359 GO:0106074	 aminoacyl-tRNA metabolism involved in translational fidelity
4.33359 GO:0070306	 lens fiber cell differentiation
4.33359 GO:0060333	 type II interferon-mediated signaling pathway
4.33359 GO:0038063	 collagen-activated tyrosine kinase receptor signaling pathway
4.33359 GO:0033673	 negative regulation of kinase activity
4.33359 GO:0014033	 neural crest cell differentiation
4.33332 GO:0032024	 positive regulation of insulin secretion
4.32013 GO:0070509	 calcium ion import
4.32013 GO:0060045	 positive regulation of cardiac muscle cell proliferation
4.32013 GO:0051262	 protein tetramerization
4.32013 GO:0048593	 camera-type eye morphogenesis
4.32013 GO:0048169	 regulation of long-term neuronal synaptic plasticity
4.32013 GO:0045780	 positive regulation of bone resorption
4.32013 GO:0023019	 signal transduction involved in regulation of gene expression
4.32013 GO:0007215	 glutamate receptor signaling pathway
4.32013 GO:0006839	 mitochondrial transport
4.32013 GO:0002076	 osteoblast development
4.3199 GO:0000278	 mitotic cell cycle
4.30558 GO:0042102	 positive regulation of T cell proliferation
4.30558 GO:0035019	 somatic stem cell population maintenance
4.30424 GO:0086064	 cell communication by electrical coupling involved in cardiac conduction
4.30424 GO:0061053	 somite development
4.30424 GO:0045579	 positive regulation of B cell differentiation
4.30424 GO:0043069	 negative regulation of programmed cell death
4.30424 GO:0021756	 striatum development
4.30424 GO:0006536	 glutamate metabolic process
4.30305 GO:0060389	 pathway-restricted SMAD protein phosphorylation
4.30305 GO:0055078	 sodium ion homeostasis
4.30305 GO:0055001	 muscle cell development
4.30305 GO:0048485	 sympathetic nervous system development
4.30305 GO:0035269	 protein O-linked mannosylation
4.30305 GO:0035162	 embryonic hemopoiesis
4.30305 GO:0035050	 embryonic heart tube development
4.30305 GO:0019433	 triglyceride catabolic process
4.30305 GO:0006941	 striated muscle contraction
4.30305 GO:0002026	 regulation of the force of heart contraction
4.30305 GO:0001736	 establishment of planar polarity
4.29157 GO:0042531	 positive regulation of tyrosine phosphorylation of STAT protein
4.29157 GO:0007612	 learning
4.28312 GO:0007613	 memory
4.27925 GO:0071480	 cellular response to gamma radiation
4.27925 GO:0070328	 triglyceride homeostasis
4.27925 GO:0021510	 spinal cord development
4.27925 GO:0009314	 response to radiation
4.26395 GO:0070588	 calcium ion transmembrane transport
4.23706 GO:0043065	 positive regulation of apoptotic process
4.2288 GO:0031648	 protein destabilization
4.22709 GO:1990349	 gap junction-mediated intercellular transport
4.22709 GO:1904783	 positive regulation of NMDA glutamate receptor activity
4.22709 GO:0110025	 DNA strand resection involved in replication fork processing
4.22709 GO:0086073	 bundle of His cell-Purkinje myocyte adhesion involved in cell communication
4.22709 GO:0072378	 blood coagulation, fibrin clot formation
4.22709 GO:0071907	 determination of digestive tract left/right asymmetry
4.22709 GO:0071371	 cellular response to gonadotropin stimulus
4.22709 GO:0060373	 regulation of ventricular cardiac muscle cell membrane depolarization
4.22709 GO:0060119	 inner ear receptor cell development
4.22709 GO:0045646	 regulation of erythrocyte differentiation
4.22709 GO:0045588	 positive regulation of gamma-delta T cell differentiation
4.22709 GO:0021798	 forebrain dorsal/ventral pattern formation
4.22709 GO:0021532	 neural tube patterning
4.22709 GO:0017185	 peptidyl-lysine hydroxylation
4.22709 GO:0016562	 protein import into peroxisome matrix, receptor recycling
4.22709 GO:0016255	 attachment of GPI anchor to protein
4.22709 GO:0009642	 response to light intensity
4.22709 GO:0007182	 common-partner SMAD protein phosphorylation
4.22709 GO:0006086	 acetyl-CoA biosynthetic process from pyruvate
4.21976 GO:0060349	 bone morphogenesis
4.21976 GO:0033344	 cholesterol efflux
4.21976 GO:0002052	 positive regulation of neuroblast proliferation
4.21121 GO:0070527	 platelet aggregation
4.20822 GO:0042307	 positive regulation of protein import into nucleus
4.20503 GO:0016477	 cell migration
4.19492 GO:0032092	 positive regulation of protein binding
4.19053 GO:0016525	 negative regulation of angiogenesis
4.18821 GO:0071805	 potassium ion transmembrane transport
4.17841 GO:0045665	 negative regulation of neuron differentiation
4.17841 GO:0022900	 electron transport chain
4.1628 GO:0035023	 regulation of Rho protein signal transduction
4.15067 GO:0090398	 cellular senescence
4.15067 GO:0045599	 negative regulation of fat cell differentiation
4.15067 GO:0001837	 epithelial to mesenchymal transition
4.14874 GO:0007005	 mitochondrion organization
4.1444 GO:0098586	 cellular response to virus
4.13485 GO:0030155	 regulation of cell adhesion
4.13485 GO:0006487	 protein N-linked glycosylation
4.13395 GO:0034504	 protein localization to nucleus
4.13395 GO:0032735	 positive regulation of interleukin-12 production
4.13395 GO:0031623	 receptor internalization
4.13395 GO:0030316	 osteoclast differentiation
4.13333 GO:0071902	 positive regulation of protein serine/threonine kinase activity
4.13333 GO:0032728	 positive regulation of interferon-beta production
4.13333 GO:0001657	 ureteric bud development
4.10948 GO:0055013	 cardiac muscle cell development
4.10948 GO:0002223	 stimulatory C-type lectin receptor signaling pathway
4.09882 GO:0050808	 synapse organization
4.09882 GO:0048146	 positive regulation of fibroblast proliferation
4.09882 GO:0031397	 negative regulation of protein ubiquitination
4.08744 GO:0046034	 ATP metabolic process
4.08744 GO:0007498	 mesoderm development
4.06576 GO:2000020	 positive regulation of male gonad development
4.06576 GO:1905146	 lysosomal protein catabolic process
4.06576 GO:1904383	 response to sodium phosphate
4.06576 GO:0150094	 amyloid-beta clearance by cellular catabolic process
4.06576 GO:0097152	 mesenchymal cell apoptotic process
4.06576 GO:0072015	 podocyte development
4.06576 GO:0072006	 nephron development
4.06576 GO:0071316	 cellular response to nicotine
4.06576 GO:0060287	 epithelial cilium movement involved in determination of left/right asymmetry
4.06576 GO:0048699	 generation of neurons
4.06576 GO:0048617	 embryonic foregut morphogenesis
4.06576 GO:0048251	 elastic fiber assembly
4.06576 GO:0045762	 positive regulation of adenylate cyclase activity
4.06576 GO:0042416	 dopamine biosynthetic process
4.06576 GO:0036302	 atrioventricular canal development
4.06576 GO:0034372	 very-low-density lipoprotein particle remodeling
4.06576 GO:0032287	 peripheral nervous system myelin maintenance
4.06576 GO:0021953	 central nervous system neuron differentiation
4.06576 GO:0021854	 hypothalamus development
4.06576 GO:0021795	 cerebral cortex cell migration
4.06576 GO:0015889	 cobalamin transport
4.06576 GO:0014808	 release of sequestered calcium ion into cytosol by sarcoplasmic reticulum
4.06576 GO:0006754	 ATP biosynthetic process
4.06576 GO:0006559	 L-phenylalanine catabolic process
4.06576 GO:0003416	 endochondral bone growth
4.06576 GO:0003183	 mitral valve morphogenesis
4.06576 GO:0003149	 membranous septum morphogenesis
4.06145 GO:2000647	 negative regulation of stem cell proliferation
4.06145 GO:0042730	 fibrinolysis
4.06145 GO:0032924	 activin receptor signaling pathway
4.06145 GO:0001894	 tissue homeostasis
4.05761 GO:0032743	 positive regulation of interleukin-2 production
4.05545 GO:0008625	 extrinsic apoptotic signaling pathway via death domain receptors
4.05545 GO:0002376	 immune system process
4.05387 GO:0007169	 transmembrane receptor protein tyrosine kinase signaling pathway
4.05171 GO:0007165	 signal transduction
4.03907 GO:0090090	 negative regulation of canonical Wnt signaling pathway
4.02113 GO:2000573	 positive regulation of DNA biosynthetic process
4.02113 GO:0051492	 regulation of stress fiber assembly
4.02113 GO:0051258	 protein polymerization
4.02113 GO:0046579	 positive regulation of Ras protein signal transduction
